"node" "lat" "long" "cumdiscards" "cumcatches" "cumdiscardsovercumcatches"
0 49.9333 1.08333 0 0 NA
0 49.9349 1.08429 0 0 NA
0 50.0653 1.36987 0 0 NA
0 50.1833 1.48333 0 0 NA
0 50.2167 1.61667 0 0 NA
0 50.5167 1.65 0 0 NA
0 50.7167 1.61667 0 0 NA
0 50.7251 1.57751 0 0 NA
0 50.8236 2.30141 0 0 NA
0 50.85 0.6 0 0 NA
0 50.9167 0.966667 0 0 NA
0 50.9333 0.783333 0 0 NA
0 50.95 0.733333 0 0 NA
0 50.9501 0.738892 0 0 NA
0 50.9671 1.85483 0 0 NA
0 51.0133 4.35571 0 0 NA
0 51.016 2.17892 0 0 NA
0 51.0327 1.16415 24843 381530.981590206 0.0611329569717607
0 51.0341 4.35872 0 0 NA
0 51.0363 1.29228 0 0 NA
0 51.0397 1.42044 0 0 NA
0 51.043 1.54861 0 0 NA
0 51.0462 1.67681 0 0 NA
0 51.0492 1.80502 0 0 NA
0 51.05 2.36667 0 0 NA
0 51.0521 1.93324 0 0 NA
0 51.0549 2.06148 0 0 NA
0 51.0575 2.18974 0 0 NA
0 51.0605 4.36018 0 0 NA
0 51.0667 1.08333 0 0 NA
0 51.0764 4.27637 0 0 NA
0 51.0833 1.15 0 0 NA
0 51.0851 3.7417 0 0 NA
0 51.1066 4.29794 0 0 NA
0 51.1077 1.35633 0 0 NA
0 51.111 1.4845 0 0 NA
0 51.1143 1.61269 0 0 NA
0 51.1169 3.74982 0 0 NA
0 51.1174 1.74089 0 0 NA
0 51.1203 1.86911 0 0 NA
0 51.1231 1.31748 0 0 NA
0 51.1231 1.99734 0 0 NA
0 51.1246 4.21054 0 0 NA
0 51.1258 2.12559 0 0 NA
0 51.1276 4.29093 0 0 NA
0 51.1284 2.25385 0 0 NA
0 51.1308 2.38213 0 0 NA
0 51.133 2.51042 0 0 NA
0 51.1333 1.3 0 0 NA
0 51.1333 2.75 0 0 NA
0 51.1351 2.63873 0 0 NA
0 51.1399 2.7453 0 0 NA
0 51.1456 3.78239 0 0 NA
0 51.15 4.35 0 0 NA
0 51.1667 4.33333 0 0 NA
0 51.1712 4.31252 0 0 NA
0 51.179 1.42039 0 0 NA
0 51.1823 1.54857 0 0 NA
0 51.1855 1.67676 0 0 NA
0 51.1885 1.80497 0 0 NA
0 51.1914 1.9332 0 0 NA
0 51.1941 2.06144 0 0 NA
0 51.1967 2.1897 0 0 NA
0 51.1992 2.31797 0 0 NA
0 51.2 2.91667 0 0 NA
0 51.2 4.33333 0 0 NA
0 51.2015 2.44626 0 0 NA
0 51.2018 3.80275 0 0 NA
0 51.2037 2.57456 0 0 NA
0 51.2058 2.70287 0 0 NA
0 51.2167 1.4 0 0 NA
0 51.2229 3.22166 0 0 NA
0 51.2275 3.79608 0 0 NA
0 51.2351 2.92188 0 0 NA
0 51.2509 1.50525 0 0 NA
